GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,label
337,118,4,4.5,4.5,9.65,1,1
324,107,4,4,4.5,8.87,1,1
316,104,3,3,3.5,8,1,0
322,110,3,3.5,2.5,8.67,1,1
314,103,2,2,3,8.21,0,0
330,115,5,4.5,3,9.34,1,1
321,109,3,3,4,8.2,1,1
308,101,2,3,4,7.9,0,0
302,102,1,2,1.5,8,0,0
323,108,3,3.5,3,8.6,0,0
325,106,3,3.5,4,8.4,1,0
327,111,4,4,4.5,9,1,1
328,112,4,4,4.5,9.1,1,1
307,109,3,4,3,8,1,0
311,104,3,3.5,2,8.2,1,0
314,105,3,3.5,2.5,8.3,0,0
317,107,3,4,3,8.7,0,0
319,106,3,4,3,8,1,0
318,110,3,4,3,8.8,0,0
303,102,3,3.5,3,8.5,0,0
312,107,3,3,2,7.9,1,0
325,114,4,3,2,8.4,0,0
328,116,5,5,5,9.5,1,1
334,119,5,5,4.5,9.7,1,1
336,119,5,4,3.5,9.8,1,1
340,120,5,4.5,4.5,9.6,1,1
322,109,5,4.5,3.5,8.8,0,1
298,98,2,1.5,2.5,7.5,1,0
295,93,1,2,2,7.2,0,0
310,99,2,1.5,2,7.3,0,0
300,97,2,3,3,8.1,1,0
327,103,3,4,4,8.3,1,0
338,118,4,3,4.5,9.4,1,1
340,114,5,4,4,9.6,1,1
331,112,5,4,5,9.8,1,1
320,110,5,5,5,9.2,1,1
299,106,2,4,4,8.4,0,0
300,105,1,1,2,7.8,0,0
304,105,1,3,1.5,7.5,0,0
307,108,2,4,3.5,7.7,0,0
308,110,3,3.5,3,8,1,0
316,105,2,2.5,2.5,8.2,1,0
313,107,2,2.5,2,8.5,1,0
332,117,4,4.5,4,9.1,0,1
326,113,5,4.5,4,9.4,1,1
322,110,5,5,4,9.1,1,1
329,114,5,4,5,9.3,1,1
339,119,5,4.5,4,9.7,0,1
321,110,3,3.5,5,8.85,1,1
327,111,4,3,4,8.4,1,1
313,98,3,2.5,4.5,8.3,1,1
312,100,2,1.5,3.5,7.9,1,0
334,116,4,4,3,8,1,1
324,112,4,4,2.5,8.1,1,0
322,110,3,3,3.5,8,0,0
320,103,3,3,3,7.7,0,0
316,102,3,2,3,7.4,0,0
298,99,2,4,2,7.6,0,0
300,99,1,3,2,6.8,1,0
311,104,2,2,2,8.3,0,0
